sku,websites,cost,price,msrp,special_price,special_from_date,special_to_date,tier_price,attribute_set_name,type_id
etrade9047,base,5.09,10.93,10.93,,,,,"Protective gloves",simple
etrade9048,base,5.09,10.93,10.93,,,,,"Protective gloves",simple
etrade9049,base,2.52,5.64,5.64,,,,,"Protective gloves",simple
etrade9050,base,2.52,5.64,5.64,,,,,"Protective gloves",simple
etrade9051,base,9.55,16.82,16.82,,,,,"Protective gloves",simple
etrade9052,base,9.55,16.82,16.82,,,,,"Protective gloves",simple
etrade9053,base,4.90,8.65,8.65,,,,,"Protective gloves",simple
etrade9054,base,4.90,8.65,8.65,,,,,"Protective gloves",simple
etrade9055,base,5.65,9.95,9.95,,,,,"Protective gloves",simple
etrade9056,base,5.65,9.95,9.95,,,,,"Protective gloves",simple
etrade9057,base,5.11,9.00,9.00,,,,,"Protective gloves",simple
etrade9058,base,5.11,9.00,9.00,,,,,"Protective gloves",simple
etrade9059,base,5.11,9.00,9.00,,,,,"Protective gloves",simple
etrade9060,base,17.06,38.06,38.06,,,,,"Tab indexes",simple
etrade9061,base,5.11,9.00,9.00,,,,,"Protective gloves",simple
etrade9062,base,0.52,1.65,1.65,,,,,"Catering gloves or glove dispensers",simple
etrade9063,base,6.33,21.12,21.12,,,,,"Protective gloves",simple
etrade9064,base,2.66,4.68,4.68,,,,,"Protective gloves",simple
etrade9065,base,5.75,10.12,10.12,,,,,"Protective gloves",simple
etrade9066,base,5.75,10.12,10.12,,,,,"Protective gloves",simple
etrade9067,base,5.12,10.00,10.00,,,,,"Protective gloves",simple
etrade9068,base,296.47,541.94,541.94,,,,,"Vacuum cleaners",simple
etrade9069,base,502.42,918.41,918.41,,,,,"Vacuum cleaners",simple
etrade9070,base,68.43,125.07,125.07,,,,,"Cleaning brushes",simple
etrade9071,base,73.11,133.61,133.61,,,,,"Cleaning brushes",simple
etrade9072,base,55.98,123.58,123.58,,,,,"Cleaning brushes",simple
etrade9073,base,55.10,100.70,100.70,,,,,"Cleaning brushes",simple
etrade9074,base,73.11,133.61,133.61,,,,,"Cleaning brushes",simple
etrade9075,base,78.39,143.30,143.30,,,,,"Cleaning brushes",simple
etrade9076,base,12.15,22.20,22.20,,,,,"Vacuum cleaner supplies or accessories",simple
etrade9077,base,15.53,33.99,33.99,,,,,"Tab indexes",simple
etrade9078,base,15.36,34.25,34.25,,,,,"Tab indexes",simple
etrade9079,base,2.15,4.76,4.76,,,,,"Tab indexes",simple
etrade9080,base,3.12,6.98,6.98,,,,,Dividers,simple
etrade9081,base,47.04,104.10,104.10,,,,,"Specialty envelopes",simple
etrade9082,base,1034.10,1895.00,1895.00,,,,,Safes,simple
etrade9083,base,12.61,27.19,27.19,,,,,"Ink cartridges",simple
etrade9084,base,5.01,10.28,10.28,,,,,Folders,simple
etrade9085,base,5.01,10.28,10.28,,,,,Folders,simple
etrade9086,base,56.70,110.66,110.66,,,,,Toner,simple
etrade9087,base,16.40,30.19,30.19,,,,,"Ink cartridges",simple
etrade9088,base,7.10,11.49,11.49,,,,,"Ink cartridges",simple
etrade9089,base,7.14,11.49,11.49,,,,,"Ink cartridges",simple
etrade9090,base,7.14,11.49,11.49,,,,,"Ink cartridges",simple
etrade9091,base,7.07,11.49,11.49,,,,,"Ink cartridges",simple
etrade9092,base,7.08,11.49,11.49,,,,,"Ink cartridges",simple
etrade9093,base,7.09,11.49,11.49,,,,,"Ink cartridges",simple
etrade9094,base,26.46,51.71,51.71,,,,,"File pockets or accessories",simple
etrade9095,base,7.56,17.80,17.80,,,,,"Badges or badge holders",simple
etrade9096,base,6.27,17.80,17.80,,,,,"Badges or badge holders",simple
etrade9097,base,7.56,17.80,17.80,,,,,"Badges or badge holders",simple
etrade9098,base,9.49,17.52,17.52,,,,,"Addressing or mailing labels",simple
etrade9099,base,64.67,119.27,119.27,,,,,"Plastic bags",simple
etrade9100,base,6.12,17.97,17.97,,,,,"Ball point pens",simple
etrade9101,base,6.12,17.97,17.97,,,,,"Ball point pens",simple
etrade9102,base,6.22,17.97,17.97,,,,,"Ball point pens",simple
etrade9103,base,60.13,106.77,106.77,,,,,"Hanging folders or accessories",simple
etrade9104,base,78.64,139.64,139.64,,,,,"Hanging folders or accessories",simple
etrade9105,base,65.34,116.01,116.01,,,,,"Hanging folders or accessories",simple
etrade9106,base,69.71,123.78,123.78,,,,,"Hanging folders or accessories",simple
etrade9107,base,26.07,46.29,46.29,,,,,"Hanging folders or accessories",simple
etrade9108,base,21.33,37.89,37.89,,,,,"Hanging folders or accessories",simple
etrade9109,base,24.76,43.98,43.98,,,,,"Hanging folders or accessories",simple
etrade9110,base,32.10,57.00,57.00,,,,,"Hanging folders or accessories",simple
etrade9111,base,2.52,5.41,5.41,,,,,"Addressing or mailing labels",simple
etrade9112,base,3.68,10.64,10.64,,,,,"Emergency medical services first aid kit cases or bags or accessories",simple
etrade9113,base,8.04,18.80,18.80,,,,,"Coat racks",simple
etrade9114,base,1.49,3.79,3.79,,,,,"Safety signs",simple
etrade9115,base,1.55,3.05,3.05,,,,,"Sweet biscuits or cookies",simple
etrade9116,base,16.34,31.65,31.65,,,,,"Instant coffee",simple
etrade9117,base,23.71,40.52,40.52,,,,,"Instant coffee",simple
etrade9118,base,15.58,21.63,21.63,,,,,"Chocolate or malt or other hot beverages",simple
etrade9119,base,8.99,13.32,13.32,,,,,"Chocolate or malt or other hot beverages",simple
etrade9120,base,2.03,4.40,4.40,,,,,"Air freshener",simple
etrade9121,base,4.72,14.57,14.57,,,,,"Non dairy creamers",simple
etrade9122,base,51.61,114.11,114.11,,,,,"Glass panels for picture frames",simple
etrade9123,base,0.97,3.09,3.09,,,,,"Safety signs",simple
etrade9124,base,1.56,3.80,3.80,,,,,"Safety signs",simple
etrade9125,base,16.67,37.95,37.95,,,,,"Storage racks or shelves",simple
etrade9126,base,5.70,11.55,11.55,,,,,"Alkaline batteries",simple
etrade9127,base,10000,10000,10000,,,,,"Ring binder",simple
etrade9128,base,12.69,30.70,30.70,,,,,"Bulletin boards or accessories",simple
etrade9129,base,18.33,44.19,44.19,,,,,"Bulletin boards or accessories",simple
etrade9130,base,0.49,2.05,2.05,,,,,"Safety signs",simple
etrade9131,base,1.49,3.26,3.26,,,,,"Safety signs",simple
etrade9132,base,0.97,3.09,3.09,,,,,"Safety signs",simple
etrade9133,base,19.04,56.18,56.18,,,,,"Ring binder",simple
etrade9134,base,16.13,29.65,29.65,,,,,"Printer ribbon",simple
etrade9135,base,19.23,38.83,38.83,,,,,"Ring binder",simple
etrade9136,base,22.33,45.15,45.15,,,,,"Ring binder",simple
etrade9137,base,30.36,76.36,76.36,,,,,"Ring binder",simple
