sku,category_ids
etrade88,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Ring Binders|A3 Size"
etrade89,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Presentation Ring Binders|25mm"
etrade90,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Presentation Ring Binders|40mm"
etrade91,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Presentation Ring Binders|65mm"
etrade92,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Presentation Ring Binders|50mm"
etrade93,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Presentation Ring Binders|25mm"
etrade94,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Ring Binders|A4 Size"
etrade95,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Ring Binders|A4 Size"
etrade96,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Ring Binders|A4 Size"
etrade97,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Ring Binders|A4 Size"
etrade98,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Ring Binders|A4 Size"
etrade99,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Ring Binders|A5 Size"
etrade100,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Ring Binders|A5 Size"
etrade101,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Ring Binders|A5 Size"
etrade102,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Lever Arch Files|Foolscap (Legal) Size"
etrade103,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Plastic Folders|A4"
etrade104,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Lever Arch Files|Foolscap (Legal) Size"
etrade105,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Plastic Pockets|A4"
etrade106,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Lever Arch Files|A3 Size"
etrade107,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Plastic Pockets|A3"
etrade108,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Plastic Pockets|A3"
etrade109,"rt - office supplies|Inks & Toners|Printer/Fax/Copier Supplies|Inkjet Cartridges|Colour"
etrade110,"rt - office supplies|Inks & Toners|Printer/Fax/Copier Supplies|Inkjet Cartridges|Black"
etrade111,"rt - office supplies|Inks & Toners|Printer/Fax/Copier Supplies|Inkjet Cartridges|Colour"
etrade112,"rt - office supplies|Inks & Toners|Printer/Fax/Copier Supplies|Inkjet Cartridges|Colour"
etrade113,"rt - office supplies|Inks & Toners|Printer/Fax/Copier Supplies|Inkjet Cartridges|Colour"
etrade114,"rt - office supplies|Inks & Toners|Printer/Fax/Copier Supplies|Inkjet Cartridges|Black"
etrade115,"rt - office supplies|Inks & Toners|Printer/Fax/Copier Supplies|Inkjet Cartridges|Colour"
etrade116,"rt - office supplies|Office Supplies|Desktop Accessories|Book Racks / Mag Files|Magazine Files"
etrade117,"rt - office supplies|Inks & Toners|Printer/Fax/Copier Supplies|Inkjet Cartridges|Colour"
etrade118,"rt - office supplies|Inks & Toners|Printer/Fax/Copier Supplies|Inkjet Cartridges|Colour"
etrade119,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Slide Binders|6-10mm"
etrade120,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Slide Binders|6-10mm"
etrade121,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Slide Binders|6-10mm"
etrade122,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Slide Binders|6-10mm"
etrade123,"rt - office supplies|Office Supplies|Desktop Accessories|Book Racks / Mag Files|Magazine Files"
etrade124,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Slide Binders|6-10mm"
etrade125,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Slide Binders|6-10mm"
etrade126,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Slide Binders|6-10mm"
etrade127,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Slide Binders|6-10mm"
etrade128,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Slide Binders|6-10mm"
etrade129,"rt - office supplies|Office Supplies|Desktop Accessories|Book Racks / Mag Files|Magazine Files"
etrade130,"rt - office supplies|Inks & Toners|Printer/Fax/Copier Supplies|Inkjet Cartridges|Colour"
etrade131,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Presentation Folders|A4"
etrade132,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Presentation Folders|A4"
etrade133,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Presentation Folders|A4"
etrade134,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Presentation Folders|A4"
etrade135,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Lever Arch Files|A4 Size"
etrade136,"rt - office supplies|Inks & Toners|Printer/Fax/Copier Supplies|Inkjet Cartridges|Colour"
etrade137,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Box Files|A4 Size"
etrade138,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Box Files|A4 Size"
etrade139,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Box Files|A4 Size"
etrade140,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Box Files|Foolscap (Legal) Size"
etrade141,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Box Files|Foolscap (Legal) Size"
etrade142,"rt - office supplies|Paper|Copier/Inkjet/Laser - Paper A4|Less than 80gsm White/Colour"
etrade143,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Refill Ink|Cartridge"
etrade144,"rt - office supplies|Office Supplies|Desktop Accessories|Blotters|Half Demy"
etrade145,"rt - office supplies|Office Supplies|Desktop Accessories|Blotters|Half Demy"
etrade146,"rt - office supplies|Office Supplies|Desktop Accessories|Blotters|Full Demy"
etrade147,"rt - office supplies|Office Supplies|Desktop Accessories|Blotters|Full Demy"
etrade148,"rt - office supplies|Paper|Copier/Inkjet/Laser - Paper A4|White 120gsm to 160gsm"
etrade149,"rt - office supplies|Paper|Copier/Inkjet/Laser - Paper A3|White 120gsm to 160gsm"
etrade150,"rt - office supplies|Inks & Toners|Printer/Fax/Copier Supplies|Laser Toners|Black"
etrade151,"rt - office supplies|Postal Supplies|Envelopes|Protective Envelopes (Not Padded)|Other"
